Name,Value,Timestamp,Step
"wd_0",0.01,1613809000138,25
"sqr_mom_0",0.99,1613809000138,25
"lr_0",9.851911244073228e-06,1613809000138,25
"mom_0",0.943904259120757,1613809000138,25
"eps_0",1e-05,1613809000138,25
"wd_1",0.01,1613809000138,25
"sqr_mom_1",0.99,1613809000138,25
"lr_1",9.851911244073228e-06,1613809000138,25
"mom_1",0.943904259120757,1613809000138,25
"eps_1",1e-05,1613809000138,25
"wd_2",0.01,1613809000138,25
"sqr_mom_2",0.99,1613809000138,25
"lr_2",9.851911244073227e-05,1613809000138,25
"mom_2",0.943904259120757,1613809000138,25
"eps_2",1e-05,1613809000138,25
"train_loss",0.42767286,1613809001017,26
"raw_loss",0.2273576,1613809001017,26
"wd_0",0.01,1613809001017,26
"sqr_mom_0",0.99,1613809001017,26
"lr_0",1.0318675278608704e-05,1613809001017,26
"mom_0",0.9434180465847826,1613809001017,26
"eps_0",1e-05,1613809001017,26
"wd_1",0.01,1613809001017,26
"sqr_mom_1",0.99,1613809001017,26
"lr_1",1.0318675278608704e-05,1613809001017,26
"mom_1",0.9434180465847826,1613809001017,26
"eps_1",1e-05,1613809001017,26
"wd_2",0.01,1613809001017,26
"sqr_mom_2",0.99,1613809001017,26
"lr_2",0.00010318675278608706,1613809001017,26
"mom_2",0.9434180465847826,1613809001017,26
"eps_2",1e-05,1613809001017,26
"train_loss",0.41818014,1613809001889,27
"raw_loss",0.22261876,1613809001889,27
"wd_0",0.01,1613809001889,27
"sqr_mom_0",0.99,1613809001889,27
"lr_0",1.0802040256448307e-05,1613809001889,27
"mom_0",0.942914541399533,1613809001889,27
"eps_0",1e-05,1613809001889,27
"wd_1",0.01,1613809001889,27
"sqr_mom_1",0.99,1613809001889,27
"lr_1",1.0802040256448307e-05,1613809001889,27
"mom_1",0.942914541399533,1613809001889,27
"eps_1",1e-05,1613809001889,27
"wd_2",0.01,1613809001889,27
"sqr_mom_2",0.99,1613809001889,27
"lr_2",0.00010802040256448309,1613809001889,27
"mom_2",0.942914541399533,1613809001889,27
"eps_2",1e-05,1613809001889,27
"train_loss",0.4173708,1613809002768,28
"raw_loss",0.40023768,1613809002768,28
"wd_0",0.01,1613809002768,28
"sqr_mom_0",0.99,1613809002768,28
"lr_0",1.1301815915877466e-05,1613809002768,28
"mom_0",0.9423939417542943,1613809002768,28
"eps_0",1e-05,1613809002768,28
"wd_1",0.01,1613809002768,28
"sqr_mom_1",0.99,1613809002768,28
"lr_1",1.1301815915877466e-05,1613809002768,28
"mom_1",0.9423939417542943,1613809002768,28
"eps_1",1e-05,1613809002768,28
"wd_2",0.01,1613809002768,28
"sqr_mom_2",0.99,1613809002768,28
"lr_2",0.00011301815915877467,1613809002768,28
"mom_2",0.9423939417542943,1613809002768,28
"eps_2",1e-05,1613809002768,28
"train_loss",0.43240702,1613809003648,29
"raw_loss",0.7590811,1613809003648,29
"wd_0",0.01,1613809003648,29
"sqr_mom_0",0.99,1613809003648,29
"lr_0",1.1817800847632122e-05,1613809003648,29
"mom_0",0.9418564574503832,1613809003648,29
"eps_0",1e-05,1613809003648,29
"wd_1",0.01,1613809003648,29
"sqr_mom_1",0.99,1613809003648,29
"lr_1",1.1817800847632122e-05,1613809003648,29
"mom_1",0.9418564574503832,1613809003648,29
"eps_1",1e-05,1613809003648,29
"wd_2",0.01,1613809003648,29
"sqr_mom_2",0.99,1613809003648,29
"lr_2",0.00011817800847632124,1613809003648,29
"mom_2",0.9418564574503832,1613809003648,29
"eps_2",1e-05,1613809003648,29
"train_loss",0.4326516,1613809004526,30
"raw_loss",0.43809983,1613809004526,30
"wd_0",0.01,1613809004526,30
"sqr_mom_0",0.99,1613809004526,30
